No proximo ano dividir por indice e sessão para facilitar ,,,,,,,,,,,,
,Índice,Cabe artefato?,Qual tipo?,Artefato Disponível?,Link,Artefato Funcional?,Artefato reprodutivel?,Artefato Sustentável?,Total com Artefato Disponivel,,,Proporção Cabe/Disponivel
Sessão 1,1,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,8,,,"16,67%"
,2,TRUE,Software e Dados,TRUE,https://github.com/vonpupp/pyCloudSim/tree/v0.1 | https://github.com/vonpupp/planetlab-workload-traces|https://github.com/vonpupp/sbrc-2014-simulation,FALSE,FALSE,FALSE,,,,
,3,TRUE,Software,TRUE,https://github.com/pedropaulovc/CloudSim_DVFS,FALSE,FALSE,FALSE,Total com Artefato Utilizável,,,Proporção Total/Cabe
Gera grafico com base em euristicas ,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,,,"80,00%"
,5,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,6,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,Total Cabe Artefato,,,
"artefato parcialmente, linka o dataset mas nao o codigo",7,TRUE,Software e Dados,FALSE,http://people.cs.pitt.edu/~pdillon/www.crawdad.cs.dartmouth.edu | www.crawdad.cs.dartmouth.edu,FALSE,FALSE,FALSE,48,,,
,8,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,9,FALSE,,FALSE,,FALSE,FALSE,FALSE,Cabe Artefato Mas Indisponível,,,
,10,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,40,,,
Fornece o link do simulador e modelo,11,TRUE,Dados,FALSE,http://sys.cs.uos.de/bonnmotion http://www.ndnsim.net,FALSE,FALSE,FALSE,,,,
Fornece o link do simulador e modelo,12,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,13,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,14,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,15,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,16,TRUE,Software,TRUE,http://github.com/ufc-great/apps,FALSE,FALSE,FALSE,,,,
,17,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,18,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,19,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,20,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,21,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,22,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,23,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,24,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,25,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,26,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,27,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,28,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
"É uma prova matematica, mas apresenta dados do simulador",29,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,30,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,31,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,32,TRUE,Software,TRUE,https://github.com/higoramario/ServiceSelector,FALSE,FALSE,FALSE,,,,
Criaram uma API no lua,33,FALSE,,FALSE,http://homepages.dcc.ufmg.br/˜anolan/ research/- luanua:start.,FALSE,FALSE,FALSE,,,,
,34,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,35,TRUE,Dados,TRUE,https://www.inf.ufrgs.br/~wlccordeiro/idmgmt/,FALSE,FALSE,FALSE,,,,
,36,TRUE,Dados,TRUE,https://code.google.com/p/relation-extraction-corpus  https://minbox.com/gi/Uh0vixtBNw,FALSE,FALSE,FALSE,,,,
Poderia disponibilizar o conjunto de torrents,37,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,38,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,39,TRUE,Dados,TRUE,http://www.rnp.br/backbone/weblog/arquivo/arquivo_2013-m01.php,FALSE,FALSE,FALSE,,,,
,40,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,41,TRUE,Software,FALSE,https://github.com/contiki-os/contiki/tree/master/examples/udp-ipv6,FALSE,FALSE,FALSE,,,,
Parcialmente,42,TRUE,Software e Dados,TRUE,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestClassifier.html,FALSE,FALSE,FALSE,,,,
Diz que o cenário foi configurado como esta descrito em outro artigo,43,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,44,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,45,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
Perguntar se nesse caso é software ou dados,46,TRUE,,FALSE,,FALSE,FALSE,FALSE,,,,
,47,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,48,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,49,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,50,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,51,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,52,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
Talvez software e dados,53,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,54,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,55,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,56,FALSE,,FALSE,,FALSE,FALSE,FALSE,,,,
,57,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,58,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
Talvez software e dados,59,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,60,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,61,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,62,TRUE,Software e Dados,FALSE,,FALSE,FALSE,FALSE,,,,
,63,FALSE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,64,TRUE,Software,FALSE,,FALSE,FALSE,FALSE,,,,
,65,TRUE,Dados,FALSE,,FALSE,FALSE,FALSE,,,,
